id,topicId,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty
101,1,"Find the number of nodes (n), branches (b), and loops (l) for the network in Figure below.","n=9, I=11, b=19","n=7, I=7, b=13","n=9, I=7, b=15","n=9, I=7, b=15",c,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ1.png?raw=true,"Count nodes (junctions), branches (elements), and independent loops using Euler's formula: l = b - n + 1. The answer is n=9, b=15, l=7 (option C).",1
102,1,"Calculate the current going through the voltage source (a) when the switch is in position 1, and (b) when the switch is in position 2.","\((a) 300\,\text{mA}, (b) 400\,\text{mA}\)","\((a) 800\,\text{mA}, (b) 300\,\text{mA}\)","\((a) 400\,\text{mA}, (b) 300\,\text{mA}\)","\((a) 400\,\text{mA}, (b) 300\,\text{mA}\)",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ2.png?raw=true,Use Ohm's Law (I = V/R) with the two switch positions. Position 1: one resistor set active; Position 2: a different resistor set active. Apply the given supply voltage to each case separately.,1
103,1,Determine the value of $R$ in ohms. (Please round answer to 2 decimal places).,1.3,1.23,1.25,1.25,d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ3.png?raw=true,Apply KVL or the voltage divider rule around the circuit loop. Set up the equation V_source = V_R + V_other and solve for R. The answer rounds to 1.25 Ω.,1
104,1,"According to Ohm's Law, if the resistance in a circuit is doubled while the voltage remains constant, what happens to the current?",The current doubles.,The current remains the same.,The current is halved.,The current is halved.,c,,"Ohm's Law states V = IR, so I = V/R. If R doubles and V stays constant, I = V/(2R) = half the original current. The current is halved.",1
105,1,Kirchhoff's Current Law (KCL) is a direct consequence of which fundamental physical principle?,Conservation of Energy,Conservation of Charge,Conservation of Momentum,Conservation of Mass,B,,KCL is based on conservation of charge — charge cannot be created or destroyed at a node. The sum of currents entering a node must equal the sum of currents leaving.,1
106,1,"In any closed loop of a circuit, the algebraic sum of all voltages (potential differences) must be equal to:",Zero,The supply voltage,The sum of the resistances,Zero,a,,Kirchhoff's Voltage Law (KVL) states that the algebraic sum of all voltages around any closed loop equals zero. This is a consequence of conservation of energy.,1
107,1,"Using the passive sign convention, if the calculated power P=VI for a specific component is negative, what does this indicate?",The component is consuming energy.,The component is supplying energy to the circuit.,The component is behaving as a short circuit.,The component is supplying energy to the circuit.,b,,"Under the passive sign convention, positive power means energy is absorbed. If P = VI is negative, the element is delivering (supplying) energy to the rest of the circuit.",1
108,1,A Thevenin equivalent circuit consists of which two elements?,A current source in parallel with a resistor.,A voltage source in series with a resistor.,A voltage source in parallel with a capacitor.,A voltage source in series with a resistor.,b,,A Thevenin equivalent simplifies any linear two-terminal network to a single voltage source (V_th) in series with a single resistance (R_th).,1
109,1,The Superposition Principle can only be applied to circuits that are:,Non-linear,Linear,Purely inductive,Linear,b,,The Superposition Principle applies only to linear circuits. It states that the response (voltage or current) in any element equals the sum of responses caused by each independent source acting alone.,1
110,1,"How is the Norton resistance, \(R_n\) related to the Thevenin resistance, \(R_{th}\) for the same network?",$R_n$ is the reciprocal of $R_{th}$.,$R_n$ is the always double $R_{th}$.,$R_n$ is the equal to $R_{th}$.,$R_n$ is the equal to $R_{th}$.,c,,"Norton resistance R_n and Thevenin resistance R_th are found using the same method (deactivating independent sources), so R_n = R_th for the same network.",1
111,1,"For a DC circuit with a fixed source resistance \(R_s\), maximum power is delivered to a load \(R_L\) when:",\(R_L = 0 \),\(R_L = infinity \),\(R_L = R_s\),\(R_L = R_s\),c,,The Maximum Power Transfer Theorem states that maximum power is delivered to the load when R_L = R_s (load resistance equals source resistance).,1
